ciencia,¿Cuál es el planeta más grande del sistema solar?,Marte,Júpiter,Saturno,Neptuno,B
ciencia,¿Qué gas respiramos principalmente?,Oxígeno,Hidrógeno,Helio,Nitrógeno,A
ciencia,¿Qué partícula tiene carga negativa?,Protón,Electrón,Neutrón,Átomo,B
ciencia,¿Cuál es el órgano encargado de bombear la sangre?,Cerebro,Pulmón,Corazón,Hígado,C
ciencia,¿Qué tipo de energía produce una pila?,Solar,Química,Eólica,Térmica,B
ciencia,¿Qué planeta es conocido como el planeta rojo?,Venus,Marte,Júpiter,Saturno,B
ciencia,¿Qué científico propuso la teoría de la relatividad?,Newton,Einstein,Galileo,Kepler,B
historia,¿En qué año descubrió Colón América?,1482,1492,1502,1512,B
historia,¿Quién fue el primer emperador romano?,César Augusto,Julio César,Nerón,Trajano,A
historia,¿En qué año terminó la Segunda Guerra Mundial?,1939,1943,1945,1950,C
historia,¿Dónde se originó la civilización egipcia?,Mesopotamia,Valle del Indo,Valle del Nilo,Grecia,C
historia,¿Quién lideró la independencia de Colombia?,Simón Bolívar,Antonio Nariño,Francisco de Paula Santander,José de San Martín,A
historia,¿Qué muro cayó en 1989 simbolizando el fin de la Guerra Fría?,Muro de Berlín,Muro de Roma,Muro de China,Muro de Viena,A
historia,¿Qué civilización construyó Machu Picchu?,Azteca,Maya,Inca,Romana,C
deportes,¿Cuántos jugadores tiene un equipo de fútbol en el campo?,9,10,11,12,C
deportes,¿En qué deporte se usa una raqueta?,Béisbol,Tenis,Baloncesto,Golf,B
deportes,¿Cuántos anillos tiene el logotipo olímpico?,3,4,5,6,C
deportes,¿Qué país ganó el Mundial de Fútbol 2018?,Brasil,España,Francia,Argentina,C
deportes,¿Cómo se llama el deporte que combina la natación el ciclismo y carrera?,Duatlón,Tríatlón,Maratón,Decatlón,B
deportes,¿Cuántos puntos vale un triple en baloncesto?,1,2,3,4,C
deportes,¿Qué deporte practica Novak Djokovic?,Golf,Tenis,Fútbol,Atletismo,B
